templateId,familyId,family,patternId,pattern,rarity,effect,drawback,scaling,creatorPower,naturalAcquisition
MOD_WF10_CATALYST_FOCUS_FORTUNE,WF10_CATALYST_FOCUS,Catalysts and Foci,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_TOWERBORN,WF10_CATALYST_FOCUS,Catalysts and Foci,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_BOSSBREAKER,WF10_CATALYST_FOCUS,Catalysts and Foci,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_CHRONICLE,WF10_CATALYST_FOCUS,Catalysts and Foci,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_BALANCED,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_VANGUARD,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_WARDEN,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_MYSTIC,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_EXPEDITION,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_RESCUE,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_FORTUNE,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_TOWERBORN,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_BOSSBREAKER,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF11_ENGINEERING_TOOL_CHRONICLE,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_BALANCED,WF12_HYBRID_RELIC,Hybrid Relic Weapons,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_VANGUARD,WF12_HYBRID_RELIC,Hybrid Relic Weapons,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_WARDEN,WF12_HYBRID_RELIC,Hybrid Relic Weapons,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_MYSTIC,WF12_HYBRID_RELIC,Hybrid Relic Weapons,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_EXPEDITION,WF12_HYBRID_RELIC,Hybrid Relic Weapons,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_RESCUE,WF12_HYBRID_RELIC,Hybrid Relic Weapons,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_FORTUNE,WF12_HYBRID_RELIC,Hybrid Relic Weapons,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_TOWERBORN,WF12_HYBRID_RELIC,Hybrid Relic Weapons,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_BOSSBREAKER,WF12_HYBRID_RELIC,Hybrid Relic Weapons,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF12_HYBRID_RELIC_CHRONICLE,WF12_HYBRID_RELIC,Hybrid Relic Weapons,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
ULT_WF01_SWORD_ASCENDANT,WF01_SWORD,Swords,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF01_SWORD_BASTION,WF01_SWORD,Swords,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF01_SWORD_RESONANT,WF01_SWORD,Swords,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF01_SWORD_WAYFINDER,WF01_SWORD,Swords,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF01_SWORD,WF01_SWORD,Swords,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF02_GREAT_WEAPON_ASCENDANT,WF02_GREAT_WEAPON,Great Weapons,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF02_GREAT_WEAPON_BASTION,WF02_GREAT_WEAPON,Great Weapons,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF02_GREAT_WEAPON_RESONANT,WF02_GREAT_WEAPON,Great Weapons,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF02_GREAT_WEAPON_WAYFINDER,WF02_GREAT_WEAPON,Great Weapons,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF02_GREAT_WEAPON,WF02_GREAT_WEAPON,Great Weapons,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF03_AXE_ASCENDANT,WF03_AXE,Axes,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF03_AXE_BASTION,WF03_AXE,Axes,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF03_AXE_RESONANT,WF03_AXE,Axes,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF03_AXE_WAYFINDER,WF03_AXE,Axes,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF03_AXE,WF03_AXE,Axes,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF04_SPEAR_POLEARM_ASCENDANT,WF04_SPEAR_POLEARM,Spears and Polearms,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF04_SPEAR_POLEARM_BASTION,WF04_SPEAR_POLEARM,Spears and Polearms,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF04_SPEAR_POLEARM_RESONANT,WF04_SPEAR_POLEARM,Spears and Polearms,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF04_SPEAR_POLEARM_WAYFINDER,WF04_SPEAR_POLEARM,Spears and Polearms,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF04_SPEAR_POLEARM,WF04_SPEAR_POLEARM,Spears and Polearms,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF05_BOW_ASCENDANT,WF05_BOW,Bows,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF05_BOW_BASTION,WF05_BOW,Bows,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF05_BOW_RESONANT,WF05_BOW,Bows,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF05_BOW_WAYFINDER,WF05_BOW,Bows,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF05_BOW,WF05_BOW,Bows,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF06_DAGGER_ASCENDANT,WF06_DAGGER,Daggers,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF06_DAGGER_BASTION,WF06_DAGGER,Daggers,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF06_DAGGER_RESONANT,WF06_DAGGER,Daggers,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF06_DAGGER_WAYFINDER,WF06_DAGGER,Daggers,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF06_DAGGER,WF06_DAGGER,Daggers,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF07_SHIELD_ASCENDANT,WF07_SHIELD,Shields,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF07_SHIELD_BASTION,WF07_SHIELD,Shields,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF07_SHIELD_RESONANT,WF07_SHIELD,Shields,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF07_SHIELD_WAYFINDER,WF07_SHIELD,Shields,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF07_SHIELD,WF07_SHIELD,Shields,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF08_GAUNTLET_ASCENDANT,WF08_GAUNTLET,Gauntlets,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF08_GAUNTLET_BASTION,WF08_GAUNTLET,Gauntlets,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF08_GAUNTLET_RESONANT,WF08_GAUNTLET,Gauntlets,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF08_GAUNTLET_WAYFINDER,WF08_GAUNTLET,Gauntlets,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF08_GAUNTLET,WF08_GAUNTLET,Gauntlets,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF09_STAFF_ASCENDANT,WF09_STAFF,Staves,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF09_STAFF_BASTION,WF09_STAFF,Staves,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF09_STAFF_RESONANT,WF09_STAFF,Staves,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF09_STAFF_WAYFINDER,WF09_STAFF,Staves,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF09_STAFF,WF09_STAFF,Staves,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF10_CATALYST_FOCUS_ASCENDANT,WF10_CATALYST_FOCUS,Catalysts and Foci,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF10_CATALYST_FOCUS_BASTION,WF10_CATALYST_FOCUS,Catalysts and Foci,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF10_CATALYST_FOCUS_RESONANT,WF10_CATALYST_FOCUS,Catalysts and Foci,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF10_CATALYST_FOCUS_WAYFINDER,WF10_CATALYST_FOCUS,Catalysts and Foci,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF10_CATALYST_FOCUS,WF10_CATALYST_FOCUS,Catalysts and Foci,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF11_ENGINEERING_TOOL_ASCENDANT,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF11_ENGINEERING_TOOL_BASTION,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF11_ENGINEERING_TOOL_RESONANT,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF11_ENGINEERING_TOOL_WAYFINDER,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF11_ENGINEERING_TOOL,WF11_ENGINEERING_TOOL,Engineering Weapons and Tools,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
ULT_WF12_HYBRID_RELIC_ASCENDANT,WF12_HYBRID_RELIC,Hybrid Relic Weapons,ASCENDANT,Ascendant Form,ULTIMATE,Offensive capstone; one bounded AP refund after defeating an enemy Union.,Lower defensive weighting.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF12_HYBRID_RELIC_BASTION,WF12_HYBRID_RELIC,Hybrid Relic Weapons,BASTION,Bastion Form,ULTIMATE,"Protection capstone; intercepts, Cohesion restoration, and Guard mastery.",Lower speed.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF12_HYBRID_RELIC_RESONANT,WF12_HYBRID_RELIC,Hybrid Relic Weapons,RESONANT,Resonant Form,ULTIMATE,"Hybrid capstone; improved MP economy, Art discovery, and Link preparation.",Requires meaningful mixed-discipline use.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
ULT_WF12_HYBRID_RELIC_WAYFINDER,WF12_HYBRID_RELIC,Hybrid Relic Weapons,WAYFINDER,Wayfinder Form,ULTIMATE,"Expedition/Tower capstone; scouting, secured rewards, and route control.",Less raw boss damage than Ascendant.,LEGACY_AWAKENING,False,Major story boss/Tower 100+/mastery/code
OMEGA_WF12_HYBRID_RELIC,WF12_HYBRID_RELIC,Hybrid Relic Weapons,OMEGA,Creator Ω,CREATOR_OMEGA,"Fully awakened Creator-grade form with bounded extra action, superior Art-learning resonance, and family-defining tactical effect.",Marks the campaign as Creator-Power Used; noncanon/sandbox balance; no competitive eligibility.,FULLY_AWAKENED_CREATOR,True,Owner-controlled code only
